method,lora_r,galore_rank,update_proj_gap,target_modules,epoch,loss_mean,grad_norm_mean,learning_rate_mean,entropy_mean,num_tokens_mean,mean_token_accuracy_mean,step_mean,eval_loss_mean,eval_runtime_mean,eval_samples_per_second_mean,eval_steps_per_second_mean,eval_entropy_mean,eval_num_tokens_mean,eval_mean_token_accuracy_mean,loss_std,grad_norm_std,learning_rate_std,entropy_std,num_tokens_std,mean_token_accuracy_std,step_std,eval_loss_std,eval_runtime_std,eval_samples_per_second_std,eval_steps_per_second_std,eval_entropy_std,eval_num_tokens_std,eval_mean_token_accuracy_std
dora,8.0,,,all,1.0,1.2376794647752192,0.4736899236838023,0.00016002288329519454,1.247210413012952,5291602.0,0.7182784742021452,1748.0,1.1984361410140991,698.0148666666668,4.292333333333334,0.537,1.2057731486426462,5291602.0,0.7255264666345385,0.00025660280346724774,0.026861976126103058,0.0,0.00023986424629817237,0.0,6.164462276041486e-05,0.0,0.0004527492231270681,7.495402634504258,0.04600362304572648,0.006000000000000005,0.01801897502689536,0.0,0.0002981588529686718
dora,8.0,,,all,2.0,1.1189185520058638,0.7777942617734274,0.00012002288329519453,1.1354145836639187,10583204.0,0.7362379574371056,3496.0,1.1901142994562786,699.4344,4.283666666666666,0.536,1.1429621138042874,10583204.0,0.7279680265320673,0.0002530052409393377,0.10673914394149547,0.0,0.00021807573955926626,0.0,4.1479910868673714e-05,0.0,0.00038825368172741245,8.61105349478214,0.05238638499966696,0.006557438524302007,0.010871710263739849,0.0,0.0001772082397644614
dora,8.0,,,all,3.0,0.9724682095758248,0.9294095039367676,8.002288329519452e-05,1.0045244661816926,15874806.0,0.7611254238609501,5244.0,1.2130820353825886,697.9501666666666,4.292666666666666,0.5376666666666666,1.0574399417241416,15874806.0,0.7277663560973272,0.00029589501974685374,0.11088622686544054,0.0,0.00031556771248951936,0.0,0.00011746678175167222,0.0,0.0015642457479544982,7.231512935986019,0.044657959350303277,0.005507570547286093,0.01195691779062683,0.0,0.000134009093146592
dora,8.0,,,all,4.0,0.82430723002628,1.2463406721750896,4.0022883295194505e-05,0.8774855680519348,21166408.0,0.7900595798531532,6992.0,1.2642587423324585,699.2996666666667,4.285,0.5363333333333333,0.9841908362176683,21166408.0,0.725383022096422,0.0005914243630594479,0.06185408983519833,0.0,0.000673897821979748,0.0,0.0001364994766341754,0.0,0.00047800548296984016,8.608904925327781,0.05267826876426369,0.0070237691685685125,0.0036808350735119157,0.0,0.00011798854346656912
dora,8.0,,,all,5.0,0.6980759819257724,1.5686443249384563,2.2883295194508016e-08,0.7713999033235668,26458010.0,0.8179139036949494,8740.0,1.332571029663086,699.7027666666667,4.282333333333334,0.536,0.9200689812236362,26458010.0,0.7216587601237827,0.0008730325695226809,0.09674983237777789,0.0,0.0010652112185086237,0.0,0.00023603917249904942,0.0,0.00029126596265755103,7.561340645899584,0.04605793453177593,0.006000000000000005,0.0010526014096769146,0.0,6.0806389008415304e-05
dora,8.0,,,attn,1.0,1.2533123327701896,0.3520710269610087,0.00016002288329519454,1.26461699681142,5291602.0,0.7160516227023644,1748.0,1.2180378039677937,281.03073333333333,10.661333333333333,1.3343333333333334,1.2309925870365568,5291602.0,0.7223664051161872,0.00014168899970542844,0.010775561360730017,0.0,0.00017695470952338669,0.0,3.480627853256591e-05,0.0,0.00029874196009929964,2.5876052970523715,0.09847503913852176,0.0123423390543825,0.01813992456022545,0.0,0.0002354330879330961
dora,8.0,,,attn,2.0,1.1947562001662615,0.4929518202940623,0.00012002288329519453,1.2095934245124471,10583204.0,0.7245990835374588,3496.0,1.2070366938908894,280.9419,10.665,1.335,1.1961338429980808,10583204.0,0.7245992971526252,0.00021835139805014543,0.014453374283384595,0.0,0.0002082693949902242,0.0,7.59958877428427e-05,0.0,0.0004758747839976411,2.7413646109191325,0.10453229166147723,0.013228756555322985,0.010992423110416157,0.0,0.00013243561195786546
dora,8.0,,,attn,3.0,1.142113959852927,0.605555792649587,8.002288329519452e-05,1.1612546777084163,15874806.0,0.7328939428773206,5244.0,1.2090064684549968,280.99606666666665,10.662666666666667,1.3343333333333334,1.1672405321862962,15874806.0,0.7249008690516154,9.867897694170086e-05,0.027690157666496,0.0,0.0001392036666888907,0.0,6.298759065521294e-05,0.0,0.00013102691728515342,2.6154289788356886,0.09932438438436662,0.0123423390543825,0.005150761081922892,0.0,6.007867824378644e-05
dora,8.0,,,attn,4.0,1.0959901904259628,0.7138322989145914,4.0022883295194505e-05,1.1199541598853948,21166408.0,0.7404969252083339,6992.0,1.218640645345052,281.094,10.659,1.3343333333333334,1.1291634336577523,21166408.0,0.7242491380373637,0.0001055274536954934,0.013642896142289246,0.0,0.0003127537378925292,0.0,4.532230096428555e-05,0.0,0.0012296608525975124,2.4721650511242266,0.0939521154631438,0.01167618659209134,0.006907254908267438,0.0,0.00015718784345378873
dora,8.0,,,attn,5.0,1.0600926495980525,0.8440932830174764,2.2883295194508016e-08,1.0883957637824873,26458010.0,0.7466604426605478,8740.0,1.2296079794565837,280.9159,10.665666666666667,1.335,1.1124687764379713,26458010.0,0.7231577479044596,0.000553777831515571,0.07152764504655466,0.0,0.0006550045199924776,0.0,0.00014103148532470825,0.0,0.00019267711337017798,2.5737651349724975,0.09770533932868497,0.012124355652982137,0.00037899344233236116,0.0,0.000186252091234451
