method,lora_r,galore_rank,update_proj_gap,target_modules,train_time_hours_mean,base_memory_gb_mean,peak_memory_gb_mean,peak_reserved_memory_gb_mean,trainable_parameters_mean,total_parameters_mean,trainable_percent_mean,train_samples_per_second_mean,train_steps_per_second_mean,final_train_loss_mean,final_eval_loss_mean,svd_total_seconds_mean,svd_call_count_mean,svd_avg_ms_per_call_mean,train_time_hours_std,base_memory_gb_std,peak_memory_gb_std,peak_reserved_memory_gb_std,trainable_parameters_std,total_parameters_std,trainable_percent_std,train_samples_per_second_std,train_steps_per_second_std,final_train_loss_std,final_eval_loss_std,svd_total_seconds_std,svd_call_count_std,svd_avg_ms_per_call_std
dora,8.0,,,all,16.74,15.04,22.14,29.55333333333333,22347776.0,8052609024.0,0.2775,1.16,0.14333333333333334,0.6981,1.3325666666666667,,,,0.22999999999999732,0.0,0.0,3.3832725774512067,0.0,0.0,0.0,0.020000000000000018,0.005773502691896247,0.0008660254037844234,0.00032145502536639643,,,
dora,8.0,,,attn,7.213333333333334,14.979999999999999,21.97,27.973333333333333,7143424.0,8037404672.0,0.08890000000000002,2.6933333333333334,0.33666666666666667,1.0600666666666667,1.2296,,,,0.06658328118479355,0.0,0.0,3.3832725774512067,0.0,0.0,0.0,0.02516611478423597,0.0057735026918962545,0.0005686240703076701,0.00019999999999997797,,,
dora,16.0,,,all,17.52,15.12,22.38,29.863333333333333,43319296.0,8073580544.0,0.5366,1.1133333333333333,0.13999999999999999,0.4793,1.4369333333333334,,,,1.7349351572897447,0.0,0.0,3.3832725774512085,0.0,0.0,0.0,0.10692676621563621,0.01732050807568877,0.0009643650760993,0.0006658328118478659,,,
dora,16.0,,,attn,7.72,15.01,22.05,28.073333333333334,13959168.0,8044220416.0,0.1735,2.53,0.32,0.9599000000000001,1.2536666666666667,,,,0.6766830868286868,0.0,0.0,3.3832725774512067,0.0,0.0,0.0,0.21166010488516723,0.02645751311064593,0.0004358898943540671,0.0009073771725877487,,,
dora,32.0,,,all,16.593333333333334,15.28,22.856666666666666,30.006666666666664,85262336.0,8115523584.0,1.0506,1.1733333333333331,0.15,0.26793333333333336,1.5969,,,,0.07094598884597644,0.0,0.0057735026918953655,3.3890460801431046,0.0,0.0,0.0,0.005773502691896263,0.0,0.0010066445913694529,0.0035791060336347468,,,
dora,32.0,,,attn,7.196666666666666,15.06,22.2,28.276666666666667,27590656.0,8057851904.0,0.3424,2.6966666666666668,0.34,0.8227000000000001,1.2950666666666668,,,,0.03511884584284279,0.0,0.0,3.389046080143102,0.0,0.0,0.0,0.015275252316519383,0.0,0.00034641016151376136,0.0005507570547285999,,,
dora,64.0,,,all,16.723333333333333,15.589999999999998,23.790000000000003,30.776666666666667,169148416.0,8199409664.0,2.0629,1.1633333333333333,0.14333333333333334,0.1341,1.7840999999999998,,,,0.10016652800877866,0.0,0.0,3.389046080143102,0.0,0.0,0.0,0.005773502691896247,0.005773502691896242,0.0002645751311064509,0.005615158056546574,,,
dora,64.0,,,attn,7.260000000000001,15.160000000000002,22.51,28.686666666666667,54853632.0,8085114880.0,0.6785,2.6733333333333333,0.3333333333333333,0.6546,1.3629333333333333,,,,0.06557438524301977,0.0,0.0,3.3890460801431046,0.0,0.0,0.0,0.02516611478423587,0.0057735026918962545,0.0012288205727445096,0.001301281419729618,,,
dora,128.0,,,all,16.763333333333332,16.23,25.679999999999996,30.94666666666667,336920576.0,8367181824.0,4.0267,1.1566666666666665,0.14333333333333334,0.08503333333333334,1.8936666666666666,,,,0.16743157806499046,0.0,0.0,3.510289636672924,0.0,0.0,0.0,0.011547005383792558,0.005773502691896247,0.0004041451884327379,0.006375996654118738,,,
dora,128.0,,,attn,7.286666666666666,15.36,23.12,28.55333333333333,109379584.0,8139640832.0,1.3438,2.6633333333333336,0.3333333333333333,0.4863666666666666,1.4588999999999999,,,,0.0802080627701065,0.0,0.0,3.3832725774512067,0.0,0.0,0.0,0.030550504633039034,0.0057735026918962675,0.0006429100507328591,0.0006244997998398733,,,
